date,close,down,downSize,recovery,redMark,,val
30-Dec-10,2114.7,1,29.45,336,0,,0
31-Dec-10,2114.29,1,29.42,337,0,,0
3-Jan-11,2138.3,1,30.89,338,0,,0
4-Jan-11,2135.53,1,30.72,339,0,,0
5-Jan-11,2146.5,1,31.39,340,0,,0
6-Jan-11,2142.76,1,31.17,341,0,,0
7-Jan-11,2138.81,1,30.92,342,0,,0
10-Jan-11,2135.86,1,30.74,343,0,,0
11-Jan-11,2143.82,1,31.23,344,0,,0
12-Jan-11,2163.36,1,32.43,345,0,,0
13-Jan-11,2159.66,1,32.2,346,0,,0
14-Jan-11,2175.68,1,33.18,347,0,,0
18-Jan-11,2178.72,1,33.37,348,0,,0
19-Jan-11,2156.97,1,32.04,349,0,,0
20-Jan-11,2154.18,1,31.86,350,0,,0
21-Jan-11,2159.43,1,32.19,351,0,,0
24-Jan-11,2172.03,1,32.96,352,0,,0
25-Jan-11,2172.67,1,33,353,0,,0
26-Jan-11,2181.92,1,33.56,354,0,,0
27-Jan-11,2186.93,1,33.87,355,0,,0
28-Jan-11,2147.95,1,31.48,356,0,,0
31-Jan-11,2164.4,1,32.49,357,0,,0
1-Feb-11,2200.54,1,34.7,358,0,,0
2-Feb-11,2194.94,1,34.36,359,0,,0
3-Feb-11,2200.42,1,34.7,360,0,,0
4-Feb-11,2206.8,1,35.09,361,0,,0
7-Feb-11,2220.6,1,35.93,362,0,,0
8-Feb-11,2230.59,1,36.54,363,0,,0
9-Feb-11,2224.64,1,36.18,364,0,,0
10-Feb-11,2226.51,1,36.29,365,0,,0
11-Feb-11,2239.08,1,37.06,366,0,,0
14-Feb-11,2244.89,1,37.42,367,0,,0
15-Feb-11,2237.9,1,36.99,368,0,,0
16-Feb-11,2252.3,1,37.87,369,0,,0
17-Feb-11,2259.42,1,38.31,370,0,,0
18-Feb-11,2263.79,1,38.57,371,0,,0
22-Feb-11,2217.35,1,35.73,372,0,,0
23-Feb-11,2203.89,1,34.91,373,0,,0
24-Feb-11,2202.23,1,34.81,374,0,,0
25-Feb-11,2226.05,1,36.26,375,0,,0
28-Feb-11,2238.55,1,37.03,376,0,,0
1-Mar-11,2203.32,1,34.87,377,0,,0
2-Mar-11,2207.24,1,35.11,378,0,,0
3-Mar-11,2245.33,1,37.44,379,0,,0
4-Mar-11,2228.78,1,36.43,380,0,,0
7-Mar-11,2210.26,1,35.3,381,0,,0
8-Mar-11,2230.4,1,36.53,382,0,,0
9-Mar-11,2227.7,1,36.37,383,0,,0
10-Mar-11,2185.65,1,33.79,384,0,,0
11-Mar-11,2201.81,1,34.78,385,0,,0
14-Mar-11,2188.56,1,33.97,386,0,,0
15-Mar-11,2164.06,1,32.47,387,0,,0
16-Mar-11,2121.94,1,29.89,388,0,,0
17-Mar-11,2150.43,1,31.64,389,0,,0
18-Mar-11,2159.69,1,32.2,390,0,,0
21-Mar-11,2192.09,1,34.19,391,0,,0
22-Mar-11,2184.57,1,33.72,392,0,,0
23-Mar-11,2190.96,1,34.12,393,0,,0
24-Mar-11,2211.42,1,35.37,394,0,,0
25-Mar-11,2218.42,1,35.8,395,0,,0
28-Mar-11,2212.32,1,35.42,396,0,,0
29-Mar-11,2228.41,1,36.41,397,0,,0
30-Mar-11,2243.55,1,37.34,398,0,,0
31-Mar-11,2239.44,1,37.08,399,0,,0
1-Apr-11,2250.58,1,37.77,400,0,,0
4-Apr-11,2251.64,1,37.83,401,0,,0
5-Apr-11,2251.26,1,37.81,402,0,,0
6-Apr-11,2257.11,1,38.17,403,0,,0
7-Apr-11,2253.76,1,37.96,404,0,,0
8-Apr-11,2244.74,1,37.41,405,0,,0
11-Apr-11,2238.51,1,37.03,406,0,,0
12-Apr-11,2221.12,1,35.96,407,0,,0
13-Apr-11,2221.77,1,36,408,0,,0
14-Apr-11,2221.99,1,36.02,409,0,,0
15-Apr-11,2230.7,1,36.55,410,0,,0
18-Apr-11,2206.15,1,35.05,411,0,,0
19-Apr-11,2218.86,1,35.82,412,0,,0
20-Apr-11,2248.9,1,37.66,413,0,,0
21-Apr-11,2260.84,1,38.39,414,0,,0
25-Apr-11,2257.24,1,38.17,415,0,,0
26-Apr-11,2277.51,1,39.41,416,0,,0
27-Apr-11,2292.13,0,40.31,417,0,,0
28-Apr-11,2300.46,0,40.82,418,0,,0
29-Apr-11,2305.76,0,41.14,419,0,,0
2-May-11,2301.72,1,40.9,420,0,,0
3-May-11,2293.95,1,40.42,421,0,,0
4-May-11,2278.63,1,39.48,422,0,,0
5-May-11,2258.08,1,38.22,423,0,,0
6-May-11,2266.97,1,38.77,424,0,,0
9-May-11,2277.3,1,39.4,425,0,,0
10-May-11,2295.72,1,40.53,426,0,,0
11-May-11,2271.47,1,39.04,427,0,,0
12-May-11,2282.84,1,39.74,428,0,,0
13-May-11,2264.52,1,38.62,429,0,,0
16-May-11,2250.61,1,37.77,430,0,,0
17-May-11,2250.35,1,37.75,431,0,,0
18-May-11,2270.57,1,38.99,432,0,,0
19-May-11,2275.71,1,39.3,433,0,,0
20-May-11,2258.21,1,38.23,434,0,,0
23-May-11,2231.31,1,36.59,435,0,,0
24-May-11,2229.49,1,36.47,436,0,,0
25-May-11,2236.75,1,36.92,437,0,,0
26-May-11,2246.13,1,37.49,438,0,,0
27-May-11,2255.74,1,38.08,439,0,,0
31-May-11,2279.66,1,39.55,440,0,,0
1-Jun-11,2227.96,1,36.38,441,0,,0
2-Jun-11,2225.36,1,36.22,442,0,,0
3-Jun-11,2203.81,1,34.9,443,0,,0
6-Jun-11,2180.14,1,33.45,444,0,,0
7-Jun-11,2178.15,1,33.33,445,0,,0
8-Jun-11,2169.5,1,32.8,446,0,,0
9-Jun-11,2185.52,1,33.78,447,0,,0
10-Jun-11,2155,1,31.91,448,0,,0
13-Jun-11,2157.15,1,32.05,449,0,,0
14-Jun-11,2184.48,1,33.72,450,0,,0
15-Jun-11,2146.45,1,31.39,451,0,,0
16-Jun-11,2150.58,1,31.64,452,0,,0
17-Jun-11,2157.14,1,32.05,453,0,,0
20-Jun-11,2168.8,1,32.76,454,0,,0
21-Jun-11,2198.15,1,34.56,455,0,,0
22-Jun-11,2184.03,1,33.69,456,0,,0
23-Jun-11,2177.85,1,33.31,457,0,,0
24-Jun-11,2152.31,1,31.75,458,0,,0
27-Jun-11,2172.08,1,32.96,459,0,,0
28-Jun-11,2200.68,1,34.71,460,0,,0
29-Jun-11,2219.2,1,35.84,461,0,,0
30-Jun-11,2241.66,1,37.22,462,0,,0
1-Jul-11,2274.26,1,39.22,463,0,,0
5-Jul-11,2271.29,1,39.03,464,0,,0
6-Jul-11,2274.42,1,39.22,465,0,,0
7-Jul-11,2298.31,1,40.69,466,0,,0
8-Jul-11,2282.32,1,39.71,467,0,,0
11-Jul-11,2241.07,1,37.18,468,0,,0
12-Jul-11,2231.15,1,36.58,469,0,,0
13-Jul-11,2238.29,1,37.01,470,0,,0
14-Jul-11,2223.29,1,36.1,471,0,,0
15-Jul-11,2235.65,1,36.85,472,0,,0
18-Jul-11,2217.55,1,35.74,473,0,,0
19-Jul-11,2253.71,1,37.96,474,0,,0
20-Jul-11,2252.52,1,37.88,475,0,,0
21-Jul-11,2283.23,1,39.76,476,0,,0
22-Jul-11,2285.34,1,39.89,477,1,2312.49,2312.49
25-Jul-11,2272.47,1,39.11,478,1,,2312.49
26-Jul-11,2263.15,1,38.54,479,1,,2312.49
27-Jul-11,2217.29,1,35.73,480,1,,2312.49
28-Jul-11,2210.33,1,35.3,481,1,,2312.49
29-Jul-11,2196.08,1,34.43,482,1,,2312.49
1-Aug-11,2187,1,33.87,483,1,,2312.49
2-Aug-11,2131.1,1,30.45,484,1,,2312.49
3-Aug-11,2142.56,1,31.15,485,1,,2312.49
4-Aug-11,2040.2,1,24.89,486,1,,2312.49
5-Aug-11,2039.04,1,24.82,487,1,,2312.49
8-Aug-11,1903.47,1,16.52,488,1,,2312.49
9-Aug-11,1993.76,1,22.04,489,1,,2312.49
10-Aug-11,1906.53,1,16.71,490,1,,2312.49
11-Aug-11,1995.14,1,22.13,491,1,,2312.49
12-Aug-11,2005.67,1,22.77,492,1,,2312.49
15-Aug-11,2049.51,1,25.46,493,1,,2312.49
16-Aug-11,2029.92,1,24.26,494,1,,2312.49
17-Aug-11,2032.41,1,24.41,495,1,,2312.49
18-Aug-11,1941.92,1,18.87,496,1,,2312.49
19-Aug-11,1912.77,1,17.09,497,1,,2312.49
22-Aug-11,1913.27,1,17.12,498,1,,2312.49
23-Aug-11,1978.89,1,21.13,499,1,,2312.49
24-Aug-11,2005.13,1,22.74,500,1,,2312.49
25-Aug-11,1973.96,1,20.83,501,1,,2312.49
