date	close	down	downSize	recovery
15-Dec-11	2085.44	1	27.66	579
16-Dec-11	2092.18	1	28.07	580
19-Dec-11	2067.67	1	26.57	581
20-Dec-11	2129.67	1	30.36	582
21-Dec-11	2133.86	1	30.62	583
22-Dec-11	2152.04	1	31.73	584
23-Dec-11	2171.5	1	32.92	585
27-Dec-11	2171.71	1	32.94	586
28-Dec-11	2145.09	1	31.31	587
29-Dec-11	2168.12	1	32.72	588
30-Dec-11	2158.94	1	32.16	589
3-Jan-12	2192.4	1	34.2	590
4-Jan-12	2193.28	1	34.26	591
5-Jan-12	2199.73	1	34.65	592
6-Jan-12	2194.98	1	34.36	593
9-Jan-12	2200	1	34.67	594
10-Jan-12	2219.58	1	35.87	595
11-Jan-12	2220.48	1	35.92	596
12-Jan-12	2225.74	1	36.25	597
13-Jan-12	2214.73	1	35.57	598
17-Jan-12	2222.59	1	36.05	599
18-Jan-12	2247.64	1	37.59	600
19-Jan-12	2258.8	1	38.27	601
20-Jan-12	2260.37	1	38.36	602
23-Jan-12	2261.47	1	38.43	603
24-Jan-12	2259.22	1	38.29	604
25-Jan-12	2278.83	1	39.49	605
26-Jan-12	2265.84	1	38.7	606
27-Jan-12	2262.35	1	38.49	607
30-Jan-12	2256.72	1	38.14	608
31-Jan-12	2255.69	1	38.08	609
1-Feb-12	2276.24	1	39.34	610
2-Feb-12	2278.92	1	39.5	611
3-Feb-12	2312.49	1	41.56	612
6-Feb-12	2311.55	0	41.5	613
7-Feb-12	2316.27	0	41.79	614
8-Feb-12	2322.11	0	42.14	615
9-Feb-12	2325.56	0	42.36	616
10-Feb-12	2309.6	0	41.38	617
13-Feb-12	2325.81	0	42.37	618
14-Feb-12	2324	0	42.26	619
15-Feb-12	2312.28	0	41.54	620
16-Feb-12	2338.12	0	43.12	621
17-Feb-12	2343.67	0	43.46	622
21-Feb-12	2345.41	0	43.57	623
22-Feb-12	2337.67	0	43.1	624
23-Feb-12	2348.11	0	43.74	625
24-Feb-12	2352.34	0	43.99	626
27-Feb-12	2355.74	0	44.2	627
28-Feb-12	2364.03	0	44.71	628
29-Feb-12	2353.23	0	44.05	629
1-Mar-12	2367.87	0	44.95	630
2-Mar-12	2360.28	0	44.48	631
5-Mar-12	2351.28	0	43.93	632
6-Mar-12	2315.21	0	41.72	633
7-Mar-12	2331.89	0	42.74	634
8-Mar-12	2355.01	0	44.16	635
9-Mar-12	2363.56	0	44.68	636
12-Mar-12	2364.1	0	44.71	637
13-Mar-12	2407.79	0	47.39	638
14-Mar-12	2404.98	0	47.22	639
15-Mar-12	2419.37	0	48.1	640
16-Mar-12	2422.09	0	48.26	641
19-Mar-12	2431.73	0	48.85	642
20-Mar-12	2424.46	0	48.41	643
21-Mar-12	2420.02	0	48.14	644
22-Mar-12	2402.71	0	47.08	645
23-Mar-12	2410.16	0	47.53	646
26-Mar-12	2443.64	0	49.58	647
27-Mar-12	2437.01	0	49.18	648
28-Mar-12	2425.55	0	48.48	649
29-Mar-12	2421.7	0	48.24	650
30-Mar-12	2430.67	0	48.79	651
2-Apr-12	2449.08	0	49.92	652
3-Apr-12	2439.89	1	49.35	653
4-Apr-12	2415.05	1	47.83	654
5-Apr-12	2414.4	1	47.79	655
9-Apr-12	2387.03	1	46.12	656
10-Apr-12	2346.27	1	43.62	657
11-Apr-12	2364.09	1	44.71	658
12-Apr-12	2396.69	1	46.71	659
13-Apr-12	2366.84	1	44.88	660
16-Apr-12	2365.65	1	44.81	661
17-Apr-12	2402.29	1	47.05	662
18-Apr-12	2392.57	1	46.46	663
19-Apr-12	2378.48	1	45.59	664
20-Apr-12	2381.32	1	45.77	665
23-Apr-12	2361.35	1	44.55	666
24-Apr-12	2370.04	1	45.08	667
25-Apr-12	2402.71	1	47.08	668
26-Apr-12	2418.89	1	48.07	669
27-Apr-12	2424.78	1	48.43	670
30-Apr-12	2415.42	1	47.86	671
1-May-12	2429.1	1	48.69	672
2-May-12	2423.29	1	48.34	673
3-May-12	2405.17	1	47.23	674
4-May-12	2366.39	1	44.85	675
7-May-12	2367.26	1	44.91	676
8-May-12	2357.45	1	44.31	677
9-May-12	2342.31	1	43.38	678
10-May-12	2348.93	1	43.79	679
11-May-12	2341.23	1	43.31	680
14-May-12	2315.45	1	41.74	681
15-May-12	2302.56	1	40.95	682
16-May-12	2293.21	1	40.38	683
17-May-12	2258.93	1	38.28	684
18-May-12	2242.25	1	37.26	685
21-May-12	2278.24	1	39.46	686
22-May-12	2279.4	1	39.53	687
23-May-12	2283.36	1	39.77	688
24-May-12	2286.87	1	39.99	689
25-May-12	2281.92	1	39.68	690
29-May-12	2307.57	1	41.25	691
30-May-12	2275.19	1	39.27	692
31-May-12	2270.25	1	38.97	693
1-Jun-12	2214.41	1	35.55	694
4-Jun-12	2214.7	1	35.57	695
5-Jun-12	2227.45	1	36.35	696
6-Jun-12	2279.42	1	39.53	697
7-Jun-12	2279.28	1	39.52	698
8-Jun-12	2297.82	1	40.66	699
11-Jun-12	2268.94	1	38.89	700
12-Jun-12	2295.4	1	40.51	701
13-Jun-12	2280.13	1	39.57	702
14-Jun-12	2304.83	1	41.09	703
