ticker,id,company,2yr div cagr,2yr cagr stock price ,
BA,54,BOEING CO/THE,29.07,25.18,
FDX,55,FEDEX CORP,29.05,7.96,
DIS,56,WALT DISNEY CO,28.28,13.04,
AMT,57,AMERICAN TOWER C,28.28,9.56,
PSX,58,PHILLIPS 66,28.15,25.5,
LNC,59,LINCOLN NATL CRP,27.85,17.14,
JCI,60,JOHNSON CONTROLS,27.43,4.31,
MMM,61,3M CO,27.05,13.48,
SLB,62,SCHLUMBERGER LTD,26.49,2.1,
IPG,63,INTERPUBLIC GRP,26.49,18.2,
OKE,64,ONEOK INC,26.44,30.81,
WDC,65,WESTERN DIGITAL,26.29,-35.52,
COF,66,CAPITAL ONE FINA,25.66,9.25,
INTU,67,INTUIT INC,25.62,25.94,
CMI,68,CUMMINS INC,24.9,-0.42,
HIG,69,HARTFORD FINL SV,24.9,17.02,
CVS,70,CVS HEALTH CORP,24.72,-16.51,
TSCO,71,TRACTOR SUPPLY,24.62,-0.22,
EXR,72,EXTRA SPACE STOR,24.29,38.1,
SBUX,73,STARBUCKS CORP,24.13,39.58,
KSU,74,KANSAS CITY SOUT,23.89,-28.78,
SNI,75,SCRIPPS NET-CL A,23.83,-3.82,
PFG,76,PRINCIPAL FINL,23.72,16.7,
LOW,77,LOWE'S COS INC,23.71,7.06,
LYB,78,LYONDELLBASELL-A,23.29,14.73,
HD,79,HOME DEPOT INC,23.07,33.99,
NLSN,80,NIELSEN HOLDINGS,23.04,-2.76,
MCO,81,MOODY'S CORP,22.93,0.27,
AME,82,AMETEK INC,22.47,-7.48,
F,83,FORD MOTOR CO,22.47,-12.91,
ROP,84,ROPER TECHNOLOGI,22.47,17.14,
EXPE,85,EXPEDIA INC,22.47,33.97,
BEN,86,FRANKLIN RES INC,22.44,-26.8,
UNP,87,UNION PAC CORP,21.92,-9.55,
MAR,88,MARRIOTT INTL-A,21.83,8.69,
WY,89,WEYERHAEUSER CO,21.72,-10.51,
MPC,90,MARATHON PETROLE,21.68,17.63,
HOG,91,HARLEY-DAVIDSON,21.5,-7.32,
ADM,92,ARCHER-DANIELS,21.4,-8.76,
DLPH,93,DELPHI AUTOMOTIV,21.27,-5.38,
SIG,94,SIGNET JEWELERS,21.17,-27.05,
M,95,MACY'S INC,21.13,-41.38,
EL,96,ESTEE LAUDER,20.86,1.76,
MET,97,METLIFE INC,20.85,4.77,
STX,98,SEAGATE TECHNOLO,20.47,-35.3,
VFC,99,VF CORP,20.47,-25.78,
TJX,100,TJX COS INC,20.41,12.53,
WHR,101,WHIRLPOOL CORP,20.4,-2.03,
WYN,102,WYNDHAM WORLDWID,20.34,-7.04,
HRL,103,HORMEL FOODS CRP,20.26,35.62,
ABC,104,AMERISOURCEBERGE,20.25,-11.86,
HES,105,HESS CORP,19.52,-12.95,
AIZ,106,ASSURANT INC,19.46,39.48,
IFF,107,INTL FLVR & FRAG,18.78,18.81,
PRU,108,PRUDENTL FINL,18.76,21.25,
FAST,109,FASTENAL CO,18.32,3.3,
V,110,VISA INC-CLASS A,18.29,19.69,
GGP,111,GGP INC,17.99,-6.49,
CINF,112,CINCINNATI FIN,17.89,54.67,
SNA,113,SNAP-ON INC,17.87,27.71,
ECL,114,ECOLAB INC,17.84,14.07,
ROST,115,ROSS STORES INC,17.63,42.27,
FBHS,116,FORTUNE BRANDS H,17.51,21.38,
HAL,117,HALLIBURTON CO,17.11,41.62,
PCAR,118,PACCAR INC,16.82,-0.27,
CTAS,119,CINTAS CORP,16.75,49.84,
PLD,120,PROLOGIS INC,16.5,30.03,
MDT,121,MEDTRONIC PLC,16.38,1.49,
PH,122,PARKER HANNIFIN,16.37,12.3,
IBM,123,IBM,16.25,11.17,
CCL,124,CARNIVAL CORP,16.17,20.37,
KEY,125,KEYCORP,16.14,35.77,
DOW,126,DOW CHEMICAL CO,15.92,33.32,
SHW,127,SHERWIN-WILLIAMS,15.76,3.67,
TGT,128,TARGET CORP,15.52,1.29,
COG,129,CABOT OIL & GAS,15.47,-21.01,
PNR,130,PENTAIR PLC,15.47,-12.55,
NKE,131,NIKE INC -CL B,15.45,7.31,
PRGO,132,PERRIGO CO PLC,15.29,-49.73,
EMN,133,EASTMAN CHEMICAL,15.24,3.2,
KR,134,KROGER CO,15.23,9.59,
PDCO,135,PATTERSON COS,14.94,-12.22,
EFX,136,EQUIFAX INC,14.81,48.24,
CB,137,CHUBB LTD,14.75,19.01,
HBAN,138,HUNTINGTON BANC,14.71,30.42,
GPS,139,GAP INC/THE,14.69,-42.49,
QCOM,140,QUALCOMM INC,14.57,-7.15,
FLR,141,FLUOR CORP,14.56,-10.99,
IP,142,INTL PAPER CO,14.54,5.69,
ETN,143,EATON CORP PLC,14.43,4.83,
NBL,144,NOBLE ENERGY INC,14.42,-17.2,
TXN,145,TEXAS INSTRUMENT,14.39,42.57,
CSCO,146,CISCO SYSTEMS,14.16,13.68,
NOC,147,NORTHROP GRUMMAN,14.13,59.67,
SPG,148,SIMON PROPERTY,14.06,2.22,
BLK,149,BLACKROCK INC,13.91,10.55,
CAT,150,CATERPILLAR INC,13.9,8.23,
TEL,151,TE CONNECTIVITY,13.75,12.79,
ITW,152,ILLINOIS TOOL WO,13.74,33.26,
NRG,153,NRG ENERGY,13.53,-53.45,
AMP,154,AMERIPRISE FINAN,13.51,-12.78,
CAH,155,CARDINAL HEALTH,13.47,-8.43,
LMT,156,LOCKHEED MARTIN,13.43,35.53,
KSS,157,KOHLS CORP,13.43,-12.29,
XL,158,XL GROUP LTD,13.39,11.86,
FLS,159,FLOWSERVE CORP,13.39,-17.82,
MSFT,160,MICROSOFT CORP,13.37,39.47,
WFC,161,WELLS FARGO & CO,13.25,5.44,
CMCSA,162,COMCAST CORP-A,13.23,21.84,
TAP,163,MOLSON COORS-B,13.19,34.95,
AVY,164,AVERY DENNISON,13.13,39.73,
HON,165,HONEYWELL INTL,13.13,20.7,
COST,166,COSTCO WHOLESALE,13.1,17.87,
GWW,167,WW GRAINGER INC,13.07,-5.94,
UNM,168,UNUM GROUP,12.82,29.2,
NVDA,169,NVIDIA CORP,12.79,437.73,
AXP,170,AMERICAN EXPRESS,12.68,-18.8,
STT,171,STATE ST CORP,12.66,2.26,
EIX,172,EDISON INTL,12.56,13.73,
DGX,173,QUEST DIAGNOSTIC,12.55,40.77,
